age_of_acq,fict_freq,fiction_rank,gen_freq,general_rank,lexile,pos,word,word_grade,word_id
13.0,3555.0,8469.0,46662.0,14956.0,1800.0,Adjective,palpable,9-12,0a98c465-1fe3-464f-9361-aff0ad5ef058
11.25,3639.0,8398.0,44252.0,15396.0,1800.0,Noun,banter,9-12,0a3bb222-bdac-4a12-b90e-db59c895cfcc
13.2799997329712,264.0,11608.0,3280.0,34885.0,1800.0,Noun,vagrancy,9-12,09e0426e-83de-4bdc-b62e-b4afc37ff4d2
13.7600002288818,3609.0,8422.0,21901.0,21680.0,1800.0,Verb,abhor,9-12,0bc72430-b8fd-4b1f-bb54-4976c568840c
11.0,2585.0,9317.0,38610.0,16552.0,1800.0,Noun,lattice,9-12,0993db77-3ac2-494f-b5eb-7046e1c0b3eb
13.0,501.0,11371.0,30419.0,18644.0,1800.0,Noun,ester,6-8,09a3917a-86d9-4813-91ca-fb83136c60a1
14.289999961853,275.0,11597.0,2375.0,35790.0,1800.0,Noun,cloudburst,9-12,0c50633c-69d8-442d-b00d-c8d27ad663f0
8.0,694.0,11178.0,2535.0,35630.0,1800.0,Noun,wheresoever,9-12,15ca2f23-143d-45c4-bf34-a91c09cce4d6
13.710000038147,4072.0,8042.0,32914.0,17963.0,1800.0,Verb,bequeath,9-12,15fa2e0d-f305-430b-bf17-1b42471c55b1
13.3299999237061,600.0,11272.0,19718.0,22683.0,1800.0,Adjective,tenuous,9-12,0f7d9e70-5481-4f8a-9f93-7c9d7cd74d4d
12.6400003433228,3714.0,8334.0,26558.0,19862.0,1800.0,Verb,wrest,9-12,0f2940c7-c38e-4e0e-9d70-ae5d5e9bd786
0.0,1696.0,10179.0,14302.0,25649.0,1800.0,Adverb,dutifully,9-12,176ff23a-7e18-4055-8b2b-f524b4dc7819
0.0,111.0,11761.0,2643.0,35522.0,1800.0,Noun,gnomon,9-12,0d78cac4-6be7-4744-bef3-9a1949b16ea1
16.6200008392334,4616.0,7651.0,18907.0,23068.0,1800.0,Adjective,sanguine,9-12,0fb8bef5-527c-412d-926a-8334746c0002
13.2200002670288,1239.0,10633.0,3441.0,34726.0,1800.0,Verb,carouse,9-12,05192022-1f83-4495-9fa9-45e5c186590b
12.7600002288818,4039.0,8067.0,30360.0,18662.0,1800.0,Noun,conveyance,9-12,0ede2eef-f650-46f8-b39e-2db9c99052e2
14.5,1064.0,10808.0,8083.0,30348.0,1800.0,Noun,sunder,9-12,109c020e-8531-4bd5-8b13-b8965d96fc32
12.7799997329712,3359.0,8633.0,15692.0,24791.0,1800.0,Noun,perusal,9-12,1062952f-9589-4344-8423-47e18881ed00
14.4300003051758,1156.0,10716.0,2933.0,35232.0,1800.0,Noun,cowslip,9-12,0c3b4a06-67ab-4260-9937-27252712ae26
12.6199998855591,1889.0,9987.0,11386.0,27655.0,1800.0,Noun,invective,9-12,0f6a0010-5aa9-4a57-9dd1-d0a147b8e5a5
0.0,1535.0,10339.0,4211.0,33961.0,1800.0,Adjective,fervid,9-12,06a5ceb2-bed6-4e0c-b9b8-c6d344a8379d
14.1400003433228,1121.0,10751.0,21159.0,22016.0,1800.0,Noun,facsimile,9-12,06b64d4a-a55b-4166-839e-8eee692d6d56
0.0,731.0,11141.0,9047.0,29511.0,1800.0,Verb,circumscribe,6-8,0849bc65-69be-4558-ae44-a1a4ffe8616d
14.5,1450.0,10424.0,25735.0,20161.0,1800.0,Noun,paragon,9-12,0849ec25-3b2f-41c2-9b24-f00c5e0fd539
12.3999996185303,2309.0,9578.0,7841.0,30554.0,1800.0,Adjective,propitious,9-12,0ca20c8d-dc8e-4be7-94c8-c4dd895b2dbd
13.0,5741.0,6934.0,40522.0,16133.0,1800.0,Noun,livery,9-12,12fb0783-5ccc-4de3-8744-4624fd965e9e
14.9399995803833,4761.0,7554.0,20430.0,22349.0,1800.0,Verb,extricate,9-12,1c2a9d4a-d049-42da-a1e7-6dcf380a09a5
0.0,786.0,11086.0,2765.0,35400.0,1800.0,Adjective,selfsame,9-12,10d64e5e-e6f8-4246-9a94-46a838eda907
14.2700004577637,1795.0,10080.0,38451.0,16592.0,1800.0,Adjective,vernacular,9-12,091cf6c7-c81e-47cf-a888-09f547184ca3
0.0,4681.0,7606.0,23745.0,20909.0,1800.0,Adverb,heretofore,9-12,137601f9-8ea4-45dc-ac5e-f73e75a21c4c
13.789999961853,1923.0,9954.0,22722.0,21334.0,1800.0,Verb,deprecate,9-12,0e8f2a0d-63d7-40fe-b6bc-446f74714d3c
13.25,1581.0,10293.0,8066.0,30361.0,1800.0,Noun,ignominy,9-12,1c60822d-2e47-4e6b-b4cb-bef582c284ed
13.210000038147,1998.0,9882.0,8686.0,29820.0,1800.0,Adjective,petulant,9-12,1161c6d2-b8eb-40b3-9cb3-07292b7cd72d
12.0,242.0,11630.0,1548.0,36617.0,1800.0,Noun,assonance,6-8,09d60200-23d5-4812-9f1c-224c26311354
11.8400001525879,80.0,11792.0,8864.0,29672.0,1800.0,Adjective,ambidextrous,9-12,111f0a1b-dbd2-459b-b68d-30dfd6307a64
12.8400001525879,497.0,11375.0,7329.0,30999.0,1800.0,Noun,contusion,9-12,11e5e5d1-40f7-4f5e-b25e-c231f83752d5
13.0,7855.0,5963.0,21613.0,21808.0,1800.0,Verb,condescend,9-12,0a309e77-646e-412d-b6c3-d1d8f1f37a27
14.8299999237061,343.0,11529.0,13053.0,26461.0,1800.0,Verb,expunge,9-12,17323e89-a6b9-42e6-980a-9fdc8936b88a
13.0,114.0,11758.0,15332.0,25007.0,1800.0,Adjective,ambivalent,9-12,174c7478-07be-4023-a138-a13d3083da69
13.2200002670288,391.0,11481.0,2081.0,36084.0,1800.0,Verb,impassion,9-12,10a318da-b88a-472e-bf96-3a639c91c987
14.3999996185303,66.0,11806.0,7819.0,30573.0,1800.0,Noun,catharsis,9-12,117d0f8a-a309-40ea-a24c-ed827257f1f8
7.8899998664856,3.0,11869.0,4225.0,33947.0,1800.0,Noun,indices,6-8,1450e60f-492b-4516-9172-832689b7cd3c
12.9200000762939,3986.0,8109.0,13603.0,26093.0,1800.0,Verb,rend,9-12,126c2f75-d96b-4421-b9f1-127243ce7987
14.3800001144409,565.0,11307.0,3750.0,34418.0,1800.0,Noun,cuckold,9-12,1dd76c96-a5e0-490c-8d97-81d09e91da1f
17.0,908.0,10964.0,2107.0,36058.0,1800.0,Adjective,anent,9-12,11c876c2-f847-4dfe-b68b-69ead91bb40e
13.4200000762939,222.0,11650.0,11541.0,27531.0,1800.0,Adjective,anemic,9-12,135ddd9d-6cc0-405f-9912-25e05a71b529
0.0,22.0,11850.0,6003.0,32228.0,1800.0,Noun,bluegill,9-12,1897d15e-646e-4ec0-a1ef-0f89245366ff
0.0,369.0,11503.0,2440.0,35725.0,1800.0,Adjective,factious,9-12,14ea0de2-0516-46f0-ad4f-dbb8df0e0b71
13.3999996185303,4050.0,8059.0,30896.0,18505.0,1800.0,Verb,admonish,9-12,1ea00c90-53c6-48c5-8d61-e3e70c9e7f3c
15.7399997711182,667.0,11205.0,17875.0,23591.0,1800.0,Adjective,insular,9-12,132027af-bbdf-4e46-8e44-15754ca2522a
15.3800001144409,321.0,11551.0,9699.0,28992.0,1800.0,Adjective,moribund,9-12,138e1ff3-3ec3-42d8-8092-ebe16f47b85b
13.8100004196167,1620.0,10254.0,20767.0,22196.0,1800.0,Adjective,unobtrusive,9-12,16117efc-843a-4267-b266-aecbd53fec7a
0.0,3377.0,8617.0,16683.0,24240.0,1800.0,Noun,grecian,9-12,13f6a782-41ff-4932-ae10-ca793b992fe3
0.0,,,63.0,38102.0,1800.0,Noun,emphases,9-12,0cc10f45-945a-43fe-880c-51bc688674d6
11.3800001144409,1492.0,10382.0,12492.0,26840.0,1800.0,Noun,granary,9-12,145c0443-3d95-4dce-966f-95fc855ec07c
13.6000003814697,601.0,11271.0,19981.0,22551.0,1800.0,Noun,interpolation,9-12,13621628-9d1d-407b-a87c-49775e6847c0
15.8800001144409,1404.0,10470.0,55834.0,13561.0,1800.0,Verb,remit,9-12,1624e4ef-cc46-4f6f-8ce4-af50f49ddeb4
12.3699998855591,1612.0,10262.0,8347.0,30118.0,1800.0,Noun,quadruped,9-12,14c7de09-9687-4cfc-b586-d4c7c01026cd
0.0,275.0,11597.0,9285.0,29317.0,1800.0,Noun,essen,9-12,0f5cf726-16f0-43c6-9dfb-abf8e014e2cb
0.0,167.0,11705.0,2324.0,35841.0,1800.0,Adverb,stridently,9-12,156b4d54-230e-4043-8fe6-ebdffceca735
14.0699996948242,1096.0,10776.0,11954.0,27228.0,1800.0,Noun,idiosyncrasy,9-12,1500aaaf-efc2-4033-aedb-8d386af4a9fa
10.5299997329712,619.0,11253.0,40857.0,16065.0,1800.0,Adjective,porous,9-12,191bbdbe-f7fe-4d8f-b90b-1aec85f1b3e0
0.0,117.0,11755.0,61996.0,12817.0,1800.0,Noun,diaspora,6-8,1821ae9c-5d5c-4d17-bcd4-7db080464741
0.0,65.0,11807.0,4476.0,33700.0,1800.0,Verb,anneal,9-12,1ab1e8a3-7cec-43fd-9f58-634ca21dd395
0.0,1648.0,10226.0,6957.0,31339.0,1800.0,Noun,ouse,9-12,1b0bced9-e078-4b43-97e8-aea232da7030
14.6199998855591,929.0,10943.0,37467.0,16798.0,1800.0,Adjective,overt,9-12,1cadea4a-b3eb-4bd4-a539-01f6c4e35607
13.1199998855591,2024.0,9857.0,54329.0,13765.0,1800.0,Verb,preclude,9-12,19c73406-c9c8-482e-8d1e-10b3582f4441
12.789999961853,11646.0,4775.0,74436.0,11523.0,1800.0,Verb,discern,9-12,1e523e19-84da-45b5-a474-9dc1bc745313
0.0,3.0,11869.0,2376.0,35789.0,1800.0,Noun,interferometry,9-12,175df078-b627-47e6-84e7-a573bf519da4
15.6199998855591,1704.0,10171.0,7169.0,31141.0,1800.0,Verb,despoil,9-12,1ee93ffd-ef0b-4a20-991d-f92608dc80cf
13.6300001144409,5149.0,7296.0,13037.0,26472.0,1800.0,Adjective,pensive,9-12,180ed73c-f097-4fb5-9da4-00a80430d3bc
10.1700000762939,1228.0,10644.0,19277.0,22892.0,1800.0,Adjective,appreciable,9-12,18f70a72-ea9b-4c0c-be8e-8aa0a29e4278
0.0,30.0,11842.0,5158.0,33034.0,1800.0,Noun,turnbuckle,9-12,1cf70ea3-39eb-4f96-90e0-8920341dc20e
14.710000038147,228.0,11644.0,16270.0,24474.0,1800.0,Noun,lessee,9-12,19c6816d-f648-47ac-86fa-414fb069b91d
13.0,808.0,11064.0,3970.0,34199.0,1800.0,Adjective,iniquitous,9-12,19d74064-a761-4f5c-9e77-7b2a70a4c3d3
14.4399995803833,691.0,11181.0,22447.0,21457.0,1800.0,Noun,juxtaposition,9-12,1c310a2b-a902-485b-a596-acc51030614c
0.0,412.0,11460.0,8024.0,30395.0,1800.0,Adverb,appreciably,9-12,19482353-9375-453a-ab15-3f8914ca887a
13.0,1747.0,10128.0,13742.0,26001.0,1800.0,Noun,sylvan,9-12,2582d063-a8b9-4f8e-ab32-e7da340c4135
0.0,543.0,11329.0,1989.0,36176.0,1800.0,Verb,tyrannize,9-12,26f9d4f1-5b71-4a3e-a21d-8f8bb0b4cd50
13.8800001144409,384.0,11488.0,32950.0,17950.0,1800.0,Adjective,nascent,9-12,2706b856-ec63-4834-97e7-f0fce22e591c
13.9200000762939,3291.0,8696.0,41018.0,16034.0,1800.0,Adjective,arduous,9-12,1c6b5cbe-87d6-436b-a096-f7f4ac52d8cb
14.8199996948242,1386.0,10487.0,23377.0,21066.0,1800.0,Noun,bequest,9-12,275dc7ac-9c81-456a-8db9-6a0fb04894b1
11.7299995422363,3366.0,8626.0,32918.0,17961.0,1800.0,Noun,blight,9-12,276781fd-fd60-45db-bf18-7095cf0e7d19
14.0,228.0,11644.0,744.0,37421.0,1800.0,Verb,truckle,9-12,1b55d2d2-903a-4159-adfb-e6de03af2d95
0.0,88.0,11784.0,9164.0,29417.0,1800.0,Adverb,anatomically,9-12,1e87bff4-9cac-4fb0-9d9a-e76437407321
13.5,995.0,10877.0,13455.0,26200.0,1800.0,Verb,bludgeon,9-12,1e91eff4-cfd5-4f2f-9d0a-0daf6a63a829
12.8299999237061,806.0,11066.0,3183.0,34982.0,1800.0,Adjective,valorous,9-12,13d0a40c-bd63-4178-992c-bb392d8d6076
12.5,5058.0,7349.0,29461.0,18925.0,1800.0,Verb,defile,9-12,145a7132-a7be-4c82-a31a-14bf85b5b4ef
13.1999998092651,125.0,11747.0,7226.0,31088.0,1800.0,Noun,cheesecloth,9-12,1b32c887-92c1-4edb-a656-c160e63f6208
10.0,278.0,11594.0,2157.0,36008.0,1800.0,Adjective,strewn,9-12,1da9a81a-b2e2-4968-8487-a84416ea85c1
15.5,379.0,11493.0,23630.0,20957.0,1800.0,Noun,atrophy,9-12,17368b0b-81ea-4cc2-b911-d7cab4ec81b6
11.5900001525879,4618.0,7650.0,17419.0,23843.0,1800.0,Noun,squall,9-12,1ef58f60-e864-48fd-b11d-fe42cec6daa7
12.1999998092651,1970.0,9909.0,12073.0,27150.0,1800.0,Verb,propound,9-12,2ada059e-45f5-4180-9b77-fc7f8fc0d481
15.1199998855591,785.0,11087.0,18814.0,23122.0,1800.0,Noun,abatement,9-12,1d29da5c-155a-44bf-891a-e3db4e6eca6f
0.0,38.0,11834.0,3286.0,34879.0,1800.0,Noun,medevac,9-12,253045fe-6e97-4e17-a11a-4cb3ef82919a
0.0,136.0,11736.0,1676.0,36489.0,1800.0,Noun,expatriation,9-12,1f6a212d-adba-488e-a0a5-4aa841424566
13.3599996566772,706.0,11166.0,17582.0,23758.0,1800.0,Verb,abscond,9-12,2075e7d6-cc50-4a58-914d-16de58a772a8
14.3299999237061,1661.0,10213.0,4453.0,33723.0,1800.0,Adjective,officious,9-12,232c69c0-e776-40f1-8a4e-685cc9989446
14.6700000762939,175.0,11697.0,3689.0,34478.0,1800.0,Noun,chiaroscuro,9-12,26e99e2a-7684-4f2d-83df-3b4b79cf3713
0.0,2361.0,9529.0,8174.0,30272.0,1800.0,Noun,sou,9-12,21c6ebd8-1f96-42f4-812a-9334dfcb4f2e
12.1199998855591,4796.0,7532.0,39405.0,16371.0,1800.0,Noun,farce,9-12,1a095729-2efb-4dee-bad7-ce3f249d4fcb
14.0500001907349,1404.0,10470.0,60912.0,12939.0,1800.0,Adjective,mundane,9-12,238a676e-4387-4b32-8392-781dfdae75ef
13.4399995803833,818.0,11054.0,9861.0,28855.0,1800.0,Noun,camphor,9-12,2155c6eb-2d83-4112-be9f-cc81b8f0b6b3
11.8299999237061,1635.0,10239.0,49104.0,14563.0,1800.0,Adjective,sparse,9-12,25551762-3593-4607-956d-c1a4afb7f0ad
14.5500001907349,927.0,10945.0,5831.0,32390.0,1800.0,Noun,lath,9-12,1cf59b6a-325c-4777-9e52-448a17cec6e6
12.2700004577637,1247.0,10625.0,11747.0,27380.0,1800.0,Noun,breakwater,9-12,1d0ae4ae-2b1f-4f93-9c11-7e88d9688836
11.4099998474121,715.0,11157.0,37397.0,16815.0,1800.0,Noun,collusion,9-12,23a97e13-bc6b-4696-a1e8-5fb6a36e2831
11.9300003051758,1925.0,9952.0,20311.0,22402.0,1800.0,Verb,maim,9-12,1d8cbf00-f0e0-4174-a330-441eb9b19fdc
13.0,3905.0,8173.0,9023.0,29531.0,1800.0,Adverb,obstinately,9-12,241486dc-efd7-4334-9f7f-c8c0e9e2b816
13.0,3082.0,8872.0,14552.0,25486.0,1800.0,Noun,missive,9-12,1ff0df99-1807-45a2-a9f0-dada727b963d
11.6099996566772,3787.0,8272.0,125862.0,8417.0,1800.0,Adjective,tangible,9-12,297589a4-5d55-4670-a158-f0f982fb1818
11.5,1872.0,10004.0,28388.0,19278.0,1800.0,Noun,tithe,9-12,25f0d471-207d-4223-a56c-8491772d7e6f
14.3100004196167,137.0,11735.0,3010.0,35155.0,1800.0,Verb,titillate,9-12,244abdad-e063-4dfb-b12b-a741b77e75f5
14.6000003814697,2647.0,9260.0,35041.0,17408.0,1800.0,Adjective,copious,9-12,21f25d48-5cf9-48ba-b430-eb13155335c5
14.289999961853,225.0,11647.0,49788.0,14437.0,1800.0,Noun,enclave,6-8,2736001c-56d1-4000-ae88-173fe6bc5dca
14.6700000762939,1396.0,10477.0,6597.0,31674.0,1800.0,Noun,grandee,9-12,228053b1-998b-49e2-975e-84aedf2b27ba
16.0,452.0,11420.0,3641.0,34526.0,1800.0,Noun,verisimilitude,9-12,27d60712-101c-42ad-bc5f-950d7497b161
0.0,741.0,11131.0,10285.0,28534.0,1800.0,Adverb,herewith,9-12,262987cd-b046-4070-b7ad-45db306fd1b9
13.0,1514.0,10360.0,3748.0,34420.0,1800.0,Noun,thereat,9-12,26d28c9d-be58-48be-a3cf-b84fe0f99835
0.0,931.0,10941.0,33831.0,17732.0,1800.0,Noun,vignette,6-8,2c232265-3ccc-4495-ae03-199f6a0b8bc8
14.289999961853,90.0,11782.0,1589.0,36576.0,1800.0,Verb,countervail,9-12,24d42516-014a-4b7f-b31d-77c666f0cd29
13.0,612.0,11260.0,25601.0,20218.0,1800.0,Adverb,erroneously,9-12,253f952a-8457-40ff-a547-c13caebe825e
0.0,37.0,11835.0,7895.0,30504.0,1800.0,Adjective,pelagic,9-12,276edbda-4d68-4990-bfcb-115fa1ebd2d5
16.0499992370605,171.0,11701.0,4356.0,33819.0,1800.0,Adjective,etymological,9-12,250395d8-2516-484a-b70d-8449324d5b5d
11.8299999237061,274.0,11598.0,53341.0,13898.0,1800.0,Verb,earmark,9-12,27232755-6fac-4cf1-a02c-7acdf2ff56fb
12.6700000762939,5442.0,7120.0,110797.0,9072.0,1800.0,Adjective,akin,9-12,2868f77d-b276-44d8-9b51-9622cc05aa96
0.0,,,1309.0,36856.0,1800.0,Noun,collinear,9-12,25c4c999-f322-45ad-809a-c5d1eabdb74c
